Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody 1],Antibody Identifier 1,Comment [Antibody 1],Experimental Condition [Antibody 2],Antibody Identifier 2,Comment [Antibody 2],Experimental Condition [Antibody 3],Antibody Identifier 3,Comment [Antibody 3],Comment [Probe 1],Comment [Probe 2],Comment [Probe 3],Comment [Gene Identifier 1],Comment [Gene Symbol 1],Comment [Gene Identifier 2],Comment [Gene Symbol 2],Comment [Gene Identifier 3],Comment [Gene Symbol 3],Comment [Image File Path],Channels,Visualisation Method,Expression Pattern Description
ACE2-TMPRSS2,2021-06-22 18.00.33-18PCW-SKIN.ndpi [macro mask image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.00.33-18PCW-SKIN.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Skin
ACE2-TMPRSS2,2021-06-22 18.15.08-8-18PCW-LUNG.ndpi [0],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.15.08-8-18PCW-LUNG.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Lung
ACE2-TMPRSS2,2021-06-22 18.15.08-8-18PCW-LUNG.ndpi [macro image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.15.08-8-18PCW-LUNG.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Lung
ACE2-TMPRSS2,2021-06-22 18.15.08-8-18PCW-LUNG.ndpi [macro mask image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.15.08-8-18PCW-LUNG.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Lung
ACE2-TMPRSS2,2021-06-22 18.42.05-7-18PCW-CHORIONIC-VILLI.ndpi [0],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.42.05-7-18PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 18.42.05-7-18PCW-CHORIONIC-VILLI.ndpi [macro image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.42.05-7-18PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 18.42.05-7-18PCW-CHORIONIC-VILLI.ndpi [macro mask image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.42.05-7-18PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 18.45.29-6-18PCW-KIDNEY.ndpi [0],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.45.29-6-18PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 18.45.29-6-18PCW-KIDNEY.ndpi [macro image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.45.29-6-18PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 18.45.29-6-18PCW-KIDNEY.ndpi [macro mask image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.45.29-6-18PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 16.36.34-2-20PCW-KIDNEY.ndpi [0],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.36.34-2-20PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 16.36.34-2-20PCW-KIDNEY.ndpi [macro image],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.36.34-2-20PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 16.36.34-2-20PCW-KIDNEY.ndpi [macro mask image],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.36.34-2-20PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 16.42.29-3-20PCW-CHORIONIC-VILLI.ndpi [0],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.42.29-3-20PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 16.42.29-3-20PCW-CHORIONIC-VILLI.ndpi [macro image],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.42.29-3-20PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 16.42.29-3-20PCW-CHORIONIC-VILLI.ndpi [macro mask image],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.42.29-3-20PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 17.09.46-3-20PCW-INTESTINE.ndpi [0],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 17.09.46-3-20PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 17.09.46-3-20PCW-INTESTINE.ndpi [macro image],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 17.09.46-3-20PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 17.09.46-3-20PCW-INTESTINE.ndpi [macro mask image],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 17.09.46-3-20PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 17.45.09-3-20PCW-SKIN.ndpi [0],20pcw fetus,Homo sapiens,NCBITaxon,9606,20PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 17.45.09-3-20PCW-SKIN.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Skin
